,DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
96,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,DATA_EXTRACTION_DATE,TIMESTAMP(6),N, , , 
97,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,IS_TRANSFERRED,INTEGER,N, , , 
98,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,BATCH_ID,INTEGER,N, , , 
99,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,REF_KEY,BIGINT,N, , , 
100,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PNCOUNTRYCODE,INTEGER,N, , , 
101,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYNAMEEN,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
102,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYNAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
103,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,MODIFIACTION_TYPE,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
104,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,LOAD_ID,VARCHAR(60) CHARACTER SET UNICODE,N, , , 
105,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSNOTHASNATIONAL,INTEGER,Y, , , 
106,STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYISO,VARCHAR(5) CHARACTER SET UNICODE,Y, , , 
